bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
[],[2780],Mossmorran Wind Farm,4.6,[2.0],[2.0],-3.3218179,56.0904577,
[],[2796],Lairg Wind Farm,7.5,[2.5],[3.0],-4.3523683,58.0027494,
[],[2804],G24 Innovations Turbine,2.3,[2.3],[1.0],-3.1020663,51.5057375,
[],[2822],Mornflake Oats Wind Turbine,2.3,[2.3],[1.0],-2.6325601,57.6643026,
[],[2839],Clochnahill Wind Farm,5.2,[1.3],[4.0],-2.3035736,56.9390864,
[],[2867],St John Hill,7.7,[2.5],[3.0],-2.2724974,56.8835258,
[],[2873],Bryn Blaen Wind Farm,13.8,[2.3],[6.0],-3.6102984,52.4277694,
[],[2902],Burnfoot Hill,26,[2.0],[13.0],-3.7694038,56.2077611,
[],[2922],Strath of Brydock,4.6,[1.3],[2.0],-2.5818252,57.6261341,
[],[2923],House O'Hill,5,[1.67],[3.0],-2.0417789,57.6183887,
[],[2927],Owenreagh Extension,5.1,[0.85],[6.0],-7.3362009,54.8131449,
[],[2928],Bagmoor,16,[2.0],[8.0],-0.642352,53.6277923,
[],[2935],"Eastman Chemicals, Workington",4,[2.0],[2.0],-3.539003,54.6711232,
[],[2938],Lindhurst Wind Farm,15,[3.0],[5.0],-1.1441754,53.1167049,
[],[2940],Craigengelt,20,[2.5],[8.0],-4.0515014,56.0527982,
[],[2942],Saltend Wind Turbine,1.3,[1.3],[1.0],-0.23573,53.7476015,
[],[2943],Loftsome Bridge,1.3,[1.0],[2.0],-0.9345631,53.7556509,
[],[2944],Nissan Wind Farm,4,[0.66],[6.0],-1.4740703,54.913994,
[],[2950],Parc Cynog Extension,8.4,[1.3],[6.0],-4.5351604,51.7607489,
[],[2952],Ranson Moor (phase 1),6,[2.0],[3.0],0.0339455,52.5106719,
[],[2953],Ranson Moor Wind Farm (Phase 2),4,[2.0],[2.0],0.0375504,52.5156845,
[],[2955],West Durham Wind Farm,24,[2.0],[12.0],-1.8214438,54.7649921,
[],[2956],Dyffryn Brodyn Wind Farm,5.5,[0.5],[11.0],-4.5882681,51.9119232,
[],[2965],North Red Bog,1.6,[0.8],[2.0],-2.0089873,57.5876888,
[],[2968],Milton Keynes Wind Farm,14,[2.0],[7.0],-0.6581292,52.129656,
[],[2983],Broom Hill Farm,8,[2.0],[4.0],-1.7586465,54.7451425,
[],[2986],Winscales Moor,6,[0.85],[7.0],-3.4971711,54.6389453,
[],[2988],Wind Farm Africa Alive,4.1,[2.05],[2.0],1.7013653,52.4151241,
[],[2991],Beinn Tharsuinn Extension (Beinn nan Oighrean),4.6,[2.3],[2.0],-4.3433443,57.8078026,
[],[2999],St John's Well,2.4,[0.8],[3.0],-2.3311683,57.4251779,
[],[3002],Hellrigg Wind farm,9.2,[2.5],[4.0],-3.3470419,54.84751,
[],[3015],Bryn titli Windfarm,9.9,[0.45],[22.0],-3.5602098,52.3655622,
[],[3019],Delabole (Repowering),9.2,[2.3],[4.0],-4.7075454,50.633341,
[],[3021],Whittlesey,9,[3.0],[3.0],-0.1769022,52.5590859,
[],[3028],Advanced Manufacturing Research Centre,2.6,[1.3],[2.0],-1.3789638,53.3871389,
[],[3034],Solutia UK Ltd,5,[2.5],[2.0],-2.9580499,51.5631901,
[],[3050],High Haswell Wind Farm,4,[2.0],[2.0],-1.4390303,54.7803365,
[],[3057],Llandinam Windfarm,31,[0.3],[103.0],-3.4136686,52.4439122,
[],[3061],Goonhilly Downs Wind Farm Repower,12,[2.0],[6.0],-5.2014904,50.044897,
[],[3068],MSD Cramlington,4,[2.0],[2.0],-1.6241765,55.102566,
[],[3075],Skelmonae Wind Farm,3.2,[0.9],[4.0],-2.1856738,57.4465401,
[],[3079],Coal Clough Wind Farm,9.6,[0.4],[24.0],-2.1598654,53.7508091,
[],[3090],Myres Hill,1.8,[0.9],[2.0],-4.2767142,55.6918507,
[],[3092],High Sharpley Wind Farm,2.6,[1.3],[2.0],-1.4152965,54.8308095,
[],[3096],Little Cheyne Court Wind Farm,59.8,[2.3],[26.0],0.8111938,50.9612896,
[],[3097],Bessy Bell Wind Farm,5,[0.5],[10.0],-7.3950869,54.6786807,
[],[3103],Corkey Wind Farm,5,[0.5],[10.0],-6.2616476,55.0329215,
[],[3110],Hare Hill (B),2.7,[1.35],[2.0],-1.4142161,54.7596421,
